61471,ledigt årsvikariat i naturgeografi på brønderslev gymnasium og hf,2017-04-25,geografi,,Islands Allé 20,9700,Brønderslev,Region Nordjylland;
61473,lyngby gymnasium har timerest i oldtidskundskab og latin,2017-04-26,latin,,Hjortehøjsvej 1,2800,Kongens Lyngby,Region Hovedstaden;
61473,lyngby gymnasium har timerest i oldtidskundskab og latin,2017-04-26,oldtidskundskab,,Hjortehøjsvej 1,2800,Kongens Lyngby,Region Hovedstaden;
61474,kemi - årsvikar,2017-05-01,kemi,,Vejlefjordskolen 15,8721,Daugård,Region Midtjylland;
61487,lærer i naturgeografi til frederiksberg gymnasium,2017-05-01,geografi,,Falkoner Plads 2,2000,Frederiksberg,Region Hovedstaden;
61490,bliv lærer i kemi, bioteknologi, religion og erhvervsøkonomi på bg,2017-05-02,bioteknologi-erhvervsøkonomi-kemi-religion-teknologi,,P.E. Eriksens Vej 2,8850
61493,fysiklærer til 2-årig stx,          ,fysik,,         ,    ,       ,         ;
61499,årsvikariater i psykologi og religion på stenhus gymnasium & hf,2017-05-03,psykologi,,Stenhusvej 20,4300,Holbæk,Region Sjælland;
61499,årsvikariater i psykologi og religion på stenhus gymnasium & hf,2017-05-03,religion,,Stenhusvej 20,4300,Holbæk,Region Sjælland;
61501,fast stilling i musik i kombination med andet gymnasiefag,2017-05-03,musik,,Rådmands Boulevard 20,8900,Randers C,Region Midtjylland;
61502,vikariater i erhvervsøkonomi, fransk, matematik, naturgeografi og samfundsfag,2017-05-03,erhvervsøkonomi-fransk-geografi-matematik-samfundsfag,,Rådmands Boulevard 20
61504,engelsklærer til ikast-brande gymnasium,2017-05-04,engelsk,,Bøgildvej 6,7430,Ikast,Region Midtjylland;
